Category,Subcategory,Program,Organization,Host Institution,Country,Target Audience,Funding,Funding Details,Supervisor Match,Duration,Application Open,Application Deadline,Expected Open Month,Expected Deadline Month,Date Status,Deadline Confidence,Application Effort,Prestige Score (1-10),Funding Score (1-10),AI/ML Fit Score (1-10),Application Portal,Required Documents,Tags,Official Website,Notes
Research,Research Internship,Mitacs Globalink Research Internship,Mitacs,Multiple Canadian Universities,Canada,Undergraduate,Fully Funded,"Flight, visa, housing, food stipend",No,12 weeks,2026-08-05,2026-09-16,August,September,Estimated,High,High,8,9,9,,,Link,Deep structural links with Brazil; matches high GPA.,
Research,Research Internship,University of Alberta Research Experience (UARE),University of Alberta,University of Alberta,Canada,Undergraduate,Mostly Funded,"$6,000 CAD award",Helpful,12 weeks,,,August,October,Historical,Medium,Medium,7,7,8,,,Link,Formally replaced WARI framework; targets senior undergrads.,
Research,Research Fellowship,ETH Zurich Student Summer Research Fellowship (ETH SSRF),ETH Zurich,ETH Zurich,Switzerland,"Undergraduate, Graduate",Fully Funded,"CHF 4,000 stipend + travel and visa reimbursement",No,2 months,2026-11-01,2026-12-16,November,December,Confirmed,High,High,10,9,10,,,Link,Strict July-August timeline; highly technical CV required.,
Research,Research Fellowship,Summer@EPFL Fellowship,EPFL,EPFL,Switzerland,"Undergraduate, Graduate",Fully Funded,"CHF 1,800/month stipend + economy round-trip airfare",No,2-3 months,,2026-11-29,September,November,Confirmed,High,High,10,9,10,,,Link,Focus areas perfectly align with multimodal learning.,
Research,Research Internship,Max Planck Internship Programs,Max Planck Society,Max Planck Institutes (MPI),Germany,"Undergraduate, Graduate",Fully Funded,"Covers living costs, housing, and round-trip travel",Helpful,12-14 weeks,Rolling,Rolling,,Anual,Confirmed,High,High,9,9,9,,,Link,Apply 5 months prior; heavily driven by individual PI budget.,
Research,Research Internship,Mila Undergraduate Summer Research Internship,Mila,Mila / UniversitÃ© de MontrÃ©al,Canada,Undergraduate,Mostly Funded,Competitive standard research stipend ($6k-$8k CAD),Helpful,12-16 weeks,,,October,January,Historical,Medium,High,9,8,10,,,Link,Strategic option to combine via Mitacs GRI portal matching.,
Research,Research Internship,CERN Openlab Summer Student Programme,CERN,CERN,Switzerland,"Undergraduate, Graduate",Fully Funded,"CHF 90 daily allowance + travel, health insurance",No,9 weeks,,,November,January,Historical,High,High,9,9,8,,,Link,Brazil's associate state allows full student access.,
Research,Research Internship,DAAD RISE Germany,DAAD,Multiple German Universities,Germany,Undergraduate,Fully Funded,â¬934/month stipend + health insurance + travel grant,No,3 months,,,October,November,Historical,High,High,8,8,8,,,Link,Direct mapping to German laboratory researchers.,
Research,Research Fellowship,RIKEN International Program Associate,RIKEN,RIKEN,Japan,Graduate,Fully Funded,"Daily allowance, housing, round-trip airfare",Helpful,1-3 years,,,April,June,Historical,Medium,High,8,9,7,,,Link,Skews graduate but senior undergrads can apply if tied to PhD.,
Research,Research School,NUS Summer Research Programme,National University of Singapore,National University of Singapore,Singapore,Undergraduate,Unfunded,Institutional fee waiver typically applied; living out-of-pocket,No,2 months,,,January,March,Historical,Medium,Medium,8,3,8,,,Link,Managed natively via the School of Computing faculty.,
Exchange,Academic Mobility,AULP Mobility Program,AULP,Multiple Lusophone Universities,"Portugal, Macau",Undergraduate,Partially Funded,Tuition waived; housing/meals subject to campus availability,No,1 semester,,,March,May,Historical,Low,Medium,4,4,4,,,Link,Classroom-based; low research value for AI tracking.,
Exchange,Semester Exchange,Erasmus+,European Commission,Multiple European Universities,Europe,"Undergraduate, Graduate",Mostly Funded,Monthly grant depending on host country costs,No,3-12 months,Varies,Varies,,,Historical,Medium,High,8,7,6,,,Link,Dependent on direct institutional mobility slots at UFMG.,
Exchange,Semester Exchange,DRI UFMG International Exchange Programs,DRI UFMG,Multiple Global Partners,Worldwide,Undergraduate,Unfunded,Tuition waiver only; living expenses out-of-pocket,No,1-2 semesters,Varies,Varies,Varies,Varies,Confirmed,High,High,6,2,5,,,Link,Internal institutional selection; relies heavily on GPA.,
Scholarship,Government Scholarship,MEXT Scholarship (Research Students),MEXT (Japan),Multiple Japanese Universities,Japan,"Undergraduate (Senior), Graduate",Fully Funded,"Full tuition, monthly stipend, round-trip airfare",Required,1.5 - 2 years,,,April,June,Historical,High,Very High,9,10,7,,,Link,Valid pathway for immediate post-grad international MSc tracking.,
Scholarship,Merit Scholarship,DAAD Study Scholarships,DAAD,Multiple German Universities,Germany,Graduate,Fully Funded,â¬934/month + travel + tuition coverage,Helpful,1-2 years,,,August,November,Historical,High,Very High,8,9,8,,,Link,Focuses on master's degree funding in Germany.,
Scholarship,Government Scholarship,Fulbright,US Department of State,Multiple US Universities,United States,Graduate,Fully Funded,"Tuition, stipend, airfare, health insurance",No,1-2 years,,,April,August,Historical,High,Very High,9,10,8,,,Link,Geared toward graduate study and research placements.,
Scholarship,Government Scholarship,Chevening,UK Foreign Office,Multiple UK Universities,United Kingdom,Graduate,Fully Funded,"Full tuition, living stipend, flights, visa fees",No,1 year,,,August,November,Historical,High,Very High,9,10,7,,,Link,Strict master's focus; requires subsequent return to home country.,
Industry,Research Internship,Google Research Internships,Google,Google Research Labs,Worldwide,"Undergraduate, Graduate",Fully Funded,"Industry salary, housing assistance, relocation benefits",No,12-16 weeks,Rolling,Rolling,September,December,Confirmed,Medium,High,10,10,10,,,Link,Peer-reviewed publications bypass graduate level filters.,
Industry,Research Internship,Google DeepMind Internships,Google DeepMind,Google DeepMind Labs,"UK, US, Canada","Undergraduate, Graduate",Fully Funded,Top-tier industry compensation + full relocation,No,12-16 weeks,Rolling,Rolling,September,November,Confirmed,Medium,High,10,10,10,,,Link,Elite target for core generative and foundation model research.,
Industry,Research Internship,Microsoft Research Internships,Microsoft,Microsoft Research Labs,"US, UK, Netherlands","Undergraduate, Graduate",Fully Funded,Highly competitive salary + housing allowance,No,12 weeks,Rolling,Rolling,September,January,Confirmed,Medium,High,10,10,10,,,Link,Evaluates candidates based on prior research impact.,
Industry,Research Internship,NVIDIA Research Internships,NVIDIA,NVIDIA Research,"US, Worldwide","Undergraduate (Senior), Graduate",Fully Funded,Competitive compensation + housing stipend,No,3-6 months,Rolling,Rolling,August,Continuous,Confirmed,Low,High,10,10,10,,,Link,Maximum alignment with deep hardware-software AI execution.,
Industry,Research Internship,Meta AI Research Internships,Meta,Meta AI (FAIR),"US, France, UK","Undergraduate (Senior), Graduate",Fully Funded,Corporate competitive compensation + relocation,No,12-16 weeks,Rolling,Rolling,September,December,Confirmed,Low,High,10,10,10,,,Link,Heavily prefers students with top-tier conference track records.,
Industry,Research Internship,Amazon Science Internships,Amazon,Amazon Science,"US, Europe","Undergraduate, Graduate",Fully Funded,Corporate salary + monthly relocation housing allocation,No,12-16 weeks,Rolling,Rolling,September,February,Confirmed,Medium,Medium,9,10,9,,,Link,High volume of applied computer vision/data engineering work.,
Summer School,Summer School,MLSS (Machine Learning Summer School),MLSS Consortium,Rotates Annually,Worldwide,"Undergraduate (Senior), Graduate",Partially Funded,Tuition covered via grants; travel usually out-of-pocket,No,2 weeks,Varies,Varies,Varies,Varies,Historical,Medium,Medium,9,5,10,,,Link,Highly theoretical; networking value is exceptional.,
Summer School,Summer School,EEML (Eastern European Machine Learning Summer School),EEML Consortium,Rotates Annually,Europe,"Undergraduate (Senior), Graduate",Partially Funded,Fee waivers and core travel grants available upon request,No,1 week,,,January,March,Historical,Medium,Medium,8,6,10,,,Link,Deep focus on core reinforcement learning and vision tracks.,
Research,Research Internship,Summer of Open AI Research (SoAR),OpenAI,OpenAI Labs,United States,"Undergraduate, Graduate",Fully Funded,Top industry stipend + complete logistics framework,No,3-4 months,,,Notices,Rolling,Unknown,Low,Very High,10,10,10,,,Link,Program architecture shifts frequently; track rolling notices.,
Research,Research Internship,TUM Practical Research Experience Program (PREP),TUM,Technical University of Munich,Germany,"Undergraduate, Graduate",Partially Funded,"â¬1,000-â¬2,000 total grant; housing assistance",Helpful,9-12 weeks,,,October,December,Historical,High,Medium,8,5,8,,,Link,Bypasses national portals; matches directly with TUM labs.,
Research,Visiting Research Student,University of Alberta Visiting Research Student Program (VRSP),University of Alberta,University of Alberta,Canada,Undergraduate,Variable,Funded via host lab grants if negotiated directly,Required,1-12 months,Rolling,Rolling,,,Confirmed,High,Medium,7,6,9,,,Link,Independent framework requires cold-emailing specific PIs.,
Exchange,Visiting Student,National University of Singapore Non-Grading Exchange Program,National University of Singapore,National University of Singapore,Singapore,Undergraduate,Unfunded,Tuition waived; living costs out-of-pocket,No,1-2 semesters,,2026-10-15,August,October,Estimated,Medium,Medium,8,2,7,,,Link,Can be negotiated purely as a lab-bound research semester.,
Summer School,Summer School,University of Amsterdam Summer School in AI and Machine Learning,University of Amsterdam,University of Amsterdam,Netherlands,Undergraduate,Unfunded,Out-of-pocket fees required; lodging blocked by UvA,No,2-3 weeks,,,January,March,Historical,Medium,Low,7,1,8,,,Link,High quality curriculum but lacks structural funding options.,
Industry,Applied Research Internship,University of Toronto Data Sciences Institute SUDS Program,University of Toronto,University of Toronto,Canada,Undergraduate,Mostly Funded,Fixed research award (~$6k-$8k CAD),Helpful,4 months,,,November,January,Historical,Medium,High,8,7,9,,,Link,Excellent data engineering and applied ML lab infrastructure.,
Research,Research Internship,Vector Research Internship Program,Vector Institute,Vector Faculty Member / Affiliated Canadian Universities,Canada,"Undergraduate, Graduate",Fully Funded,Paid research internship funded through Canada's Pan-Canadian AI Strategy; supervision by Vector faculty; stipend provided.,Required,Typically 4â8 months,Varies by term,2026-06-22 (Winter 2027 intake),Varies,June,Confirmed,High,High,8,8,10,,,https://vectorinstitute.ai,"Excellent opportunity for students targeting AI research careers, publications, Canadian graduate school admission, and networking with leading ML researchers. Requires securing a Vector Faculty supervisor.",
Research,Research Internship,"CERN Technical Studentship (IT, Mathematics & Robotics)",CERN,CERN,Switzerland,"Undergraduate, Graduate",Fully Funded,"Monthly allowance (~3486 CHF), travel allowance, health insurance",Partially Required,4-12 months,2026-05-01,2026-06-30,May,June,Confirmed,High,Medium,10,10,9,,,https://careers.cern/jobs/tsc-co/,"Strong fit for Software Engineering, Data Engineering, Distributed Systems, AI infrastructure, Robotics and Scientific Computing. Internationally prestigious research organization. Requires student status throughout the program. Excellent pathway to future MSc/PhD applications in Europe.",