Program_ID;University;Program;Degree_Type;Country;City;Department;Duration;Program_Website;Research_Areas;Computer_Vision;Multimodal_AI;Foundation_Models_LLMs;Scientific_ML;Data_Centric_AI;Reinforcement_Learning;Data_Engineering_Distributed_Systems;Best_Labs;Best_Professors;Industry_Partners;Funding_Type;Funding_Description;Fully_Funded;Tuition_Per_Year_USD;Estimated_Living_Cost_Per_Month_USD;Typical_Monthly_Stipend_USD;Typical_Annual_Stipend_USD;Housing_Included;Research_Assistantship_Available;Teaching_Assistantship_Available;Industry_Funded_Thesis_Available;Net_Financial_Outcome;Admission_Probability;Competitiveness;GRE_Required;English_Requirement;Minimum_GPA_Requirement;Publications_Important;Research_Experience_Important;Contact_PI_Before_Applying;Interview_Required;Application_Opens;Priority_Deadline;Scholarship_Deadline;Funding_Deadline;Final_Application_Deadline;Recommendation_Letters_Due;Interview_Period;Admission_Results_Period;Acceptance_Deadline;Visa_Application_Start_Date;Program_Start_Date;Deadline_Status;Research_Fit_Score;Funding_Score;Prestige_Score;Industry_Opportunity_Score;Admission_Probability_Score;Overall_Score;Priority_Tier;Applying;Application_Status;Notes
PROG_023;KTH Royal Institute of Technology;KTH Royal Institute of Technology (Stockholm, Sweden);MSc;Sweden;Stockholm;Not Found;2 Years;Not Found;Deep Learning for Speech and Audio, Computer Vision, Robotics, and Decentralized Learning.;Yes;Yes;No;Yes;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;8;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_024;Chalmers University of Technology;Chalmers University of Technology (Gothenburg, Sweden);MSc;Sweden;Gothenburg;Not Found;2 Years;Not Found;Data-Centric AI, Deep Learning Foundations, Sequential Decision Making, and Autonomous Systems.;No;No;Yes;Yes;Yes;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;Not Found;Not Found;No;Yes;Yes;Yes;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_025;University of Helsinki;University of Helsinki (Helsinki, Finland);MSc;Finland;Helsinki;Not Found;2 Years;Not Found;Probabilistic Graphical Models, Unsupervised Representation Learning, and AI for Scientific Discovery.;No;No;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;1,900;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;8;8;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_026;University of Copenhagen;University of Copenhagen (Copenhagen, Denmark);MSc;Denmark;Copenhagen;Not Found;2 Years;Not Found;Computer Vision, Image Processing, Bio-imaging, and Algorithmic Machine Learning.;Yes;No;No;Yes;No;Yes;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;8;7;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_027;KU Leuven;KU Leuven (Leuven, Belgium);MSc;Belgium;Leuven;Not Found;2 Years;Not Found;Declarative AI, Probabilistic Logic Learning, Deep Learning for Audio and Vision Analytics, and Knowledge Representation.;Yes;Yes;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;1,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;8;8;7.8;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_028;TU Delft;TU Delft (Delft, Netherlands);MSc;Netherlands;Zurich;Not Found;2 Years;Not Found;Computer Vision, Distributed Machine Learning Systems, Intelligent User Interaction, and Data-Centric Software Infrastructure.;Yes;No;No;Yes;Yes;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;Yes;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;7;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_029;Eindhoven University of Technology (TU/e;Netherlands);MSc;Netherlands;Zurich;Not Found;2 Years;Not Found;Process Mining, Deep Learning Systems Engineering, Visual Analytics, and Applied Industrial Machine Learning.;No;No;No;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;5,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_030;Johannes Kepler University Linz (JKU;Linz, Austria);MSc;Austria;Linz;Not Found;2 Years;Not Found;Foundations of Deep Learning, Sequence Modeling (exceptional match for your temporal/audio work), Reinforcement Learning, and Bioinformatics.;No;Yes;Yes;Yes;No;Yes;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;750;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;8;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_031;Graz University of Technology (TU Graz;Austria);MSc;Austria;Graz;Not Found;2 Years;Not Found;Bio-inspired Machine Learning, Computer Vision, Robotic Mapping, and Neuromorphic Computing.;Yes;No;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;750;Not Found;No;Yes;Yes;No;Variable;Likely;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;8;9;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_032;University of Bologna;University of Bologna (Bologna, Italy);MSc;Italy;Bologna;Not Found;2 Years;Not Found;Combinatorial Optimization for AI, Deep Learning for Real-World Industry Data, Multi-Agent Systems, and Applied AI for Science.;No;No;No;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;11,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_033;Sorbonne University;Sorbonne University (Paris, France);MSc;France;Paris;Not Found;2 Years;Not Found;Multi-Agent Systems, Decision Theory, Computer Vision, and Representation Learning.;Yes;No;No;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;4,000;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;7;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_034;ENS Paris-Saclay;ENS Paris-Saclay (Paris, France);MSc;France;Paris;Not Found;2 Years;Not Found;Mathematical Foundations of Machine Learning, Pure Image Processing, Advanced Computer Vision, and Functional Representation Theory.;Yes;No;Yes;Yes;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;1,000;Not Found;No;Yes;Yes;Yes;Variable;Reach;Extremely Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;4;7.4;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_035;University of Amsterdam & Qualcomm Joint Track;University of Amsterdam & Qualcomm Joint Track (QUVA Lab);MSc;Not Found;Amsterdam;Not Found;2 Years;Not Found;Deep Learning for Mobile Computer Vision, Efficient Neural Network Quantization, and Real-Time Video/Audio Representation Learning.;Yes;Yes;No;No;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Selected master's students are employed directly as research assistants or receive targeted corporate stipends that cover non-EU tuition fees and provide a living allowance.;No;Not Found;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;7;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_036;Chalmers University & Volvo/Ericsson Corporate Mobility Track;Chalmers University & Volvo/Ericsson Corporate Mobility Track;MSc;Not Found;Gothenburg;Not Found;2 Years;Not Found;Real-Time Multimodal Sensor Fusion, Edge Deep Learning, and Fault-Tolerant Distributed Data Pipelines.;No;Yes;No;No;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Students are hired directly to conduct their thesis research within corporate R&D teams. They receive monthly salaries ranging from SEK 15,000 to SEK 22,000 during the thesis phase, which frequently includes corporate coverage of academic registration costs.;No;Not Found;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;8;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_037;Technical University of Munich & BMW/Siemens Werkstudent Framework;Technical University of Munich & BMW/Siemens Werkstudent Framework;MSc;Germany;Munich;Not Found;2 Years;Not Found;Applied Industrial AI, Predictive Maintenance via Scientific ML, and Large-Scale Data Systems Engineering.;No;No;No;Yes;No;No;Yes;Not Found;Not Found;Not Found;Not Found;While completing your coursework, you are legally permitted to work up to 20 hours per week within a corporate research arm. This yields a reliable monthly income of €1,200 to €1,800, easily covering non-EU tuition fees and local living costs.;No;Not Found;Not Found;1,200;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_038;Linköping University & WASP Framework;Linköping University & WASP Framework (Sweden);MSc;Sweden;Not Found;Not Found;2 Years;Not Found;Autonomous Systems, Safe and Explainable AI, and Scalable Multi-Agent Simulation Frameworks.;No;No;Yes;No;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Highly competitive student packages that offer full tuition support and direct matching with well-funded research projects. This provides an excellent pipeline into fully funded industrial PhD positions.;Yes;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Positive;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;10;8;10;7;8.6;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_039;University of Bologna & Motor Valley AI Fellowship;University of Bologna & Motor Valley AI Fellowship;MSc;Not Found;Bologna;Not Found;2 Years;Not Found;High-Performance Deep Learning for Real-Time Computer Vision, Embedded Sensor Fusion, and Generative Aerodynamic Modeling.;Yes;No;No;No;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Corporate fellowships that cover regional tuition costs and provide dedicated stipends for master's thesis projects conducted directly inside corporate R&D departments.;No;Not Found;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;8;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_040;University of Oulu & 6G Flagship Research Track;University of Oulu & 6G Flagship Research Track (Finland);MSc;Finland;Not Found;Not Found;2 Years;Not Found;Distributed Deep Learning for Wireless Communication Networks, Edge AI Infrastructure, and Intelligent Signal Processing.;No;No;No;No;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Selected students are hired as full-time research assistants within the 6G Flagship initiative during their thesis year, receiving standard academic salaries of €2,000 to €2,400/month.;No;Not Found;Not Found;2,000;Not Found;No;Yes;Yes;No;Variable;Likely;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;9;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_041;University of Alberta / Amii;University of Alberta / Amii (Edmonton, Canada);MSc;Canada;Toronto;Not Found;2 Years;Not Found;Foundational Reinforcement Learning (led by pioneers like Rich Sutton), Deep Generative Models, and Sequential Decision Making under uncertainty.;No;No;Yes;No;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Admitted research MSc students receive a guaranteed department funding package (~$24,000 CAD/year) through a combination of research and teaching assistantships. Local living costs are significantly lower than in Toronto or Vancouver.;No;Not Found;Not Found;24,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_042;Johannes Kepler University Linz;Johannes Kepler University Linz (Linz, Austria);MSc;Austria;Linz;Not Found;2 Years;Not Found;Advanced Sequence Modeling, Large Language Model Foundations, and Deep Learning for Biological and Chemical Data (SciML).;No;No;Yes;Yes;No;Yes;No;Not Found;Not Found;Not Found;Not Found;Tuition fees are exceptionally low (~€750/semester). The institute routinely hires master's students as paid research assistants on industry-funded deep learning projects, allowing you to cover your living costs comfortably.;No;Not Found;Not Found;750;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_043;Saarland University & Max Planck Institutes;Saarland University & Max Planck Institutes (Saarbrücken, Germany);MSc;Germany;Zurich;Not Found;2 Years;Not Found;Advanced Computer Vision, 3D Generative AI, Multimodal Language Processing, and Representation Learning.;Yes;Yes;Yes;No;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;The program is completely tuition-free. You can secure part-time research assistant (HiWi) positions at the co-located Max Planck Institutes, which provide a reliable monthly income of €600 to €1,200 in a city with very low living costs.;Yes;Covered / Low;Not Found;€600 - €1,200;Not Found;No;Yes;Yes;No;Positive;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;10;8;10;8;9.0;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_044;University of Tübingen & Cyber Valley Consortium;University of Tübingen & Cyber Valley Consortium (Tübingen, Germany);MSc;Germany;Tübingen;Not Found;2 Years;Not Found;Causal Inference, Statistical Learning Theory, Machine Learning for Scientific Discovery (SciML), and Robust Computer Vision.;Yes;No;No;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Tuition is a standard non-EU fee of €1,500/semester. Abundant graduate research assistant positions are available within the Cyber Valley ecosystem and MPI-IS labs, allowing students to cover their living costs easily.;No;Not Found;Not Found;1,500;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;7;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_045;Aalto University & Finnish Center for Artificial Intelligence;Aalto University & Finnish Center for Artificial Intelligence (Espoo, Finland);MSc;United Kingdom;Espoo;Not Found;2 Years;Not Found;Probabilistic Machine Learning, Generative Modeling, Human-in-the-loop AI, and Data-Centric Engineering.;No;No;No;No;Yes;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Offers generous 100% tuition fee waivers for top international applicants. The department routinely hires master's students as part-time research assistants, providing competitive monthly salaries of €1,800 to €2,400.;No;Covered / Low;Not Found;1,800;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_046;Chalmers University of Technology;M.Sc. in Data Science and AI;MSc;Sweden;Gothenburg;Not Found;2 Years;Not Found;Unsupervised Representation Learning, Deep Generative Models, and Data-Centric AI.;No;No;No;Yes;Yes;No;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_047;University of Helsinki;M.Sc. in Computer Science (ML Track);MSc;Finland;Helsinki;Not Found;2 Years;Not Found;Bayesian Inference, Probabilistic Graphical Models, and Machine Learning for Scientific Applications.;No;No;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;1,900;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;8;8;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_048;University of Copenhagen;M.Sc. in Computer Science (Machine Learning);MSc;Denmark;Copenhagen;Not Found;2 Years;Not Found;Theoretical Computer Vision, Image Optimization, and Algorithmic Learning Foundations.;Yes;No;Yes;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;Not Found;Not Found;No;No;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;8;7;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_049;KU Leuven;Master of Science in Advanced Computer Science (AI Track);MSc;Belgium;Leuven;Not Found;2 Years;Not Found;Declarative AI, Probabilistic Logic Learning, and Deep Learning for Video and Audio Signal Analytics.;No;Yes;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;1,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;8;8;7.8;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_050;TU Delft;M.Sc. in Computer Science (Data Science & Technology);MSc;Netherlands;Zurich;Not Found;2 Years;Not Found;Large-Scale Distributed Deep Learning Infrastructure, Advanced Computer Vision, and Intelligent Systems.;Yes;No;No;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;7;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_051;Eindhoven University of Technology (TU/e;M.Sc. in Data Science and AI;MSc;Netherlands;Zurich;Not Found;2 Years;Not Found;Process Mining, Deep Learning Systems Engineering, and Industrial Machine Learning Applications.;No;No;No;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;5,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_052;Graz University of Technology (TU Graz;M.Sc. in Computer Science;MSc;Austria;Graz;Not Found;2 Years;Not Found;Bio-inspired Neural Networks, Robotic Perception, and Object Recognition Frameworks.;No;No;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;750;Not Found;No;Yes;Yes;No;Variable;Likely;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;8;9;7.8;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_053;University of Bologna;M.Sc. in Artificial Intelligence;MSc;Italy;Bologna;Not Found;2 Years;Not Found;Combinatorial Optimization, Deep Learning for Industrial Data Analytics, and Multi-Agent Simulation.;No;No;No;No;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;11,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;8;8;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_054;Sorbonne University;Master in Computer Science (AI & Data);MSc;France;Paris;Not Found;2 Years;Not Found;Multi-Agent Decision Frameworks, Pattern Recognition, and Unsupervised Learning.;No;No;No;Yes;No;Yes;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;4,000;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;8;7;7.4;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_055;University of Waterloo;Master of Mathematics (MMath) in Computer Science (AI Option);MSc;Canada;Waterloo;Not Found;2 Years;Not Found;Core Machine Learning, Natural Language Processing, and Distributed Systems Infrastructure.;No;No;Yes;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;26,000;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;7;7.8;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_056;Australian National University (ANU;Master of Computing (Advanced);MSc;Australia;Not Found;Not Found;2 Years;Not Found;Computer Vision, Machine Learning Theory, and Large-Scale Statistical Data Analysis.;Yes;No;No;No;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;8;8;7.8;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_057;University of Melbourne;Master of Computer Science (Research Track);MSc;Australia;Melbourne;Not Found;2 Years;Not Found;Advanced Computer Vision, Natural Language Processing, and Data-Centric Software Frameworks.;Yes;No;Yes;Yes;Yes;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;37,000;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;8;7;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_058;UNSW Sydney;Master of Information Technology (AI Specialization);MSc;Australia;Sydney;Not Found;2 Years;Not Found;Applied Deep Learning, Knowledge Representation, and Robotic Vision Systems.;Yes;No;No;No;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;8;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_059;National Tsing Hua University (NTHU;M.Sc. in Computer Science;MSc;Taiwan;Taipei;Not Found;2 Years;Not Found;Structural Data Mining, Pattern Evaluation, and Deep Learning Optimization.;No;No;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;8;8;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_060;National Cheng Kung University (NCKU;M.Sc. in Computer Science;MSc;Taiwan;Taipei;Not Found;2 Years;Not Found;Applied Machine Learning, Smart Systems Architecture, and Large-Scale Data Analytics.;No;No;No;Yes;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Likely;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;No;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;9;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.